2026-09-07T20:30:06.4004851+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: /data/user/0/com.microsoft.validation.hybridteardown/files/evidence.log
2026-09-07T20:30:06.5202576+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-07T20:30:06.5381240+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 195 MB.
2026-09-07T20:30:08.9754199+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-07T20:30:08.9897262+05:30 | Information | Diagnostics | [Page] MainPage handler attached. Cycle 1.
2026-09-07T20:30:09.0657936+05:30 | Information | Lifecycle | Window created.
2026-09-07T20:30:09.0796405+05:30 | Information | Lifecycle | Window activated.
2026-09-07T20:30:11.5213922+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 352 MB.
2026-09-07T20:30:16.5297529+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 359 MB.
2026-09-07T20:30:21.5238117+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 359 MB.
2026-09-07T20:30:26.5239001+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 358 MB.
2026-09-07T20:30:31.5290970+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-07T20:30:36.5265894+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-07T20:30:39.5514310+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T20:30:41.5288694+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 359 MB.
2026-09-07T20:30:41.7893424+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 1.
2026-09-07T20:30:41.7895792+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T20:30:41.8219763+05:30 | Information | Diagnostics | [Page] MainPage handler detached. Cycle 1.
2026-09-07T20:30:41.8481613+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T20:30:41.9685400+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 14. Module reference live: True. WebView destroyed first: True.
2026-09-07T20:30:42.0104230+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 14 calls.
2026-09-07T20:30:42.0219367+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 42 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T20:30:43.1707527+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 1.
2026-09-07T20:30:43.1816245+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T20:30:43.3210331+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 2.
2026-09-07T20:30:43.3218884+05:30 | Information | Diagnostics | [Page] MainPage handler attached. Cycle 2.
2026-09-07T20:30:45.2537064+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T20:30:46.5232304+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 4 MB. Working set: 368 MB.
2026-09-07T20:30:46.6071209+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 2.
2026-09-07T20:30:46.6141767+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T20:30:46.6407145+05:30 | Information | Diagnostics | [Page] MainPage handler detached. Cycle 2.
2026-09-07T20:30:46.6461062+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T20:30:46.7120092+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 10. Module reference live: True. WebView destroyed first: True.
2026-09-07T20:30:46.7215254+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 10 calls.
2026-09-07T20:30:46.7225444+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 9 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T20:30:47.6187016+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 2.
2026-09-07T20:30:47.6314234+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T20:30:47.7306004+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 3.
2026-09-07T20:30:47.7317408+05:30 | Information | Diagnostics | [Page] MainPage handler attached. Cycle 3.
2026-09-07T20:30:48.9483331+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T20:30:49.4412098+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 3.
2026-09-07T20:30:49.4501768+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T20:30:49.4796497+05:30 | Information | Diagnostics | [Page] MainPage handler detached. Cycle 3.
2026-09-07T20:30:49.4811176+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T20:30:49.5851221+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 3. Module reference live: True. WebView destroyed first: True.
2026-09-07T20:30:49.5887697+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 3 calls.
2026-09-07T20:30:49.5903147+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 3 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T20:30:50.5993801+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 3.
2026-09-07T20:30:50.6105466+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T20:30:50.7360134+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 4.
2026-09-07T20:30:50.7366485+05:30 | Information | Diagnostics | [Page] MainPage handler attached. Cycle 4.
2026-09-07T20:30:51.5239758+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 4. GC heap: 3 MB. Working set: 377 MB.
2026-09-07T20:30:52.1455447+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T20:30:53.0546619+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 4.
2026-09-07T20:30:53.0606453+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T20:30:53.0857749+05:30 | Information | Diagnostics | [Page] MainPage handler detached. Cycle 4.
2026-09-07T20:30:53.1053081+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T20:30:53.1683649+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 6. Module reference live: True. WebView destroyed first: True.
2026-09-07T20:30:53.1736884+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 6 calls.
