2026-09-02T16:30:19.3746787+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: /data/user/0/com.microsoft.validation.hybridteardown/files/evidence.log
2026-09-02T16:30:19.4041100+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-02T16:30:19.4265047+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 195 MB.
2026-09-02T16:30:19.9367450+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-02T16:30:20.8218400+05:30 | Information | Lifecycle | Window created.
2026-09-02T16:30:20.8408692+05:30 | Information | Lifecycle | Window activated.
2026-09-02T16:30:24.4108133+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 356 MB.
2026-09-02T16:30:29.4055092+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 356 MB.
2026-09-02T16:30:34.4061002+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 356 MB.
2026-09-02T16:30:35.8250799+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T16:30:39.4070831+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 363 MB.
2026-09-02T16:30:44.4074569+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 368 MB.
2026-09-02T16:30:46.3555029+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T16:30:47.0889294+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-02T16:30:49.4068319+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 363 MB.
2026-09-02T16:30:54.4049794+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 364 MB.
2026-09-02T16:31:16.7847007+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: /data/user/0/com.microsoft.validation.hybridteardown/files/evidence.log
2026-09-02T16:31:16.8177006+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-02T16:31:16.8540847+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 195 MB.
2026-09-02T16:31:17.5563786+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-02T16:31:18.3685618+05:30 | Information | Lifecycle | Window created.
2026-09-02T16:31:18.3800763+05:30 | Information | Lifecycle | Window activated.
2026-09-02T16:31:21.8183808+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:31:26.8244664+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:31:31.8200658+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:31:36.8218834+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:31:41.8227111+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:31:46.8212727+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:31:51.8221024+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-02T16:31:56.8220929+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-02T16:32:01.8238800+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 350 MB.
2026-09-02T16:32:06.8232879+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 349 MB.
2026-09-02T16:32:11.8210019+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 350 MB.
2026-09-02T16:32:16.8190249+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 350 MB.
2026-09-02T16:32:21.8204170+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-02T16:32:26.8198387+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-02T16:32:28.8335663+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T16:32:31.8310097+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 356 MB.
2026-09-02T16:32:36.8171820+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 361 MB.
2026-09-02T16:32:40.3359553+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T16:32:40.8597052+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-02T16:32:41.8200410+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 362 MB.
2026-09-02T16:32:46.8209134+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 363 MB.
2026-09-02T16:32:51.8231097+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 359 MB.
2026-09-02T16:32:56.8186923+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 360 MB.
2026-09-02T16:33:01.8203330+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 2 MB. Working set: 361 MB.
2026-09-02T16:33:06.8243881+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 360 MB.
2026-09-02T16:33:11.8223897+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 360 MB.
2026-09-02T16:33:16.8230821+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 360 MB.
2026-09-02T16:33:21.8230821+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 362 MB.
2026-09-02T16:33:26.8199440+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 362 MB.
2026-09-02T16:33:31.8212680+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 361 MB.
2026-09-02T16:33:36.8215374+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 362 MB.
2026-09-02T16:33:41.8236073+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 363 MB.
2026-09-02T16:33:43.9295038+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T16:33:43.9411029+05:30 | Information | Lifecycle | Window activated.
2026-09-02T16:33:46.8246049+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 2 MB. Working set: 363 MB.
2026-09-02T16:33:49.3969304+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 669. Module reference live: True. WebView destroyed first: False.
2026-09-02T16:33:49.4610195+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 669 calls.
2026-09-02T16:33:49.4613999+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 96 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T16:33:49.5134640+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T16:33:51.8244898+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 2 MB. Working set: 364 MB.
2026-09-02T16:33:53.6085566+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 16. WebView destroyed first: False.
2026-09-02T16:33:53.6917020+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 16 ticks.
2026-09-02T16:33:53.6939721+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 83 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T16:33:53.6967656+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T16:33:56.8241799+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 369 MB.
2026-09-02T16:33:59.1207686+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 30. Module reference live: True. WebView destroyed first: False.
2026-09-02T16:33:59.1544374+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 30 calls.
2026-09-02T16:33:59.1567863+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 33 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T16:34:01.8031225+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-02T16:34:01.8331591+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 370 MB.
2026-09-02T16:34:03.3645820+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T16:34:04.3944013+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-02T16:34:06.8197595+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 370 MB.
2026-09-02T16:34:11.8214933+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 369 MB.
