2026-09-07T20:23:22.8464665+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: C:\Users\SuryaElayaperumal\AppData\Local\Packages\HybridTearDown_ph1m9x8skttmg\LocalState\evidence.log
2026-09-07T20:23:22.8674002+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-07T20:23:22.8723769+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 109 MB.
2026-09-07T20:23:26.0003476+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-07T20:23:26.0063372+05:30 | Information | Diagnostics | [Page] MainPage handler attached. Cycle 1.
2026-09-07T20:23:26.2337614+05:30 | Information | Lifecycle | Window created.
2026-09-07T20:23:26.4327278+05:30 | Information | Lifecycle | Window activated.
2026-09-07T20:23:27.8829713+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 242 MB.
2026-09-07T20:23:32.8814917+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 245 MB.
2026-09-07T20:23:37.8836269+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 242 MB.
2026-09-07T20:23:42.8716656+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 243 MB.
2026-09-07T20:23:47.6151772+05:30 | Information | Lifecycle | Window deactivated.
2026-09-07T20:23:47.8711716+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 243 MB.
2026-09-07T20:23:49.2320725+05:30 | Information | Lifecycle | Window resumed.
2026-09-07T20:23:49.2331719+05:30 | Information | Lifecycle | Window activated.
2026-09-07T20:23:50.7122131+05:30 | Information | Lifecycle | Window deactivated.
2026-09-07T20:23:52.8739437+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 242 MB.
2026-09-07T20:23:55.0170965+05:30 | Information | Lifecycle | Window resumed.
2026-09-07T20:23:55.0183871+05:30 | Information | Lifecycle | Window activated.
2026-09-07T20:23:55.0553379+05:30 | Information | Lifecycle | Window deactivated.
2026-09-07T20:23:55.0901704+05:30 | Information | Lifecycle | Window resumed.
2026-09-07T20:23:55.0911771+05:30 | Information | Lifecycle | Window activated.
2026-09-07T20:23:57.8834006+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 242 MB.
2026-09-07T20:24:00.1629889+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T20:24:02.8814409+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 247 MB.
2026-09-07T20:24:02.9708959+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 1.
2026-09-07T20:24:02.9715519+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T20:24:02.9986277+05:30 | Information | Diagnostics | [Page] MainPage handler detached. Cycle 1.
2026-09-07T20:24:03.0044576+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T20:24:03.0101453+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 26. Module reference live: True. WebView destroyed first: True.
2026-09-07T20:24:03.0153449+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 26 calls.
2026-09-07T20:24:03.0160982+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 5 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T20:24:04.4032566+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 1.
2026-09-07T20:24:04.4046022+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T20:24:04.4392856+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 2.
2026-09-07T20:24:04.4415445+05:30 | Information | Diagnostics | [Page] MainPage handler attached. Cycle 2.
2026-09-07T20:24:05.5444138+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T20:24:07.7361811+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 2.
2026-09-07T20:24:07.7371352+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T20:24:07.7497389+05:30 | Information | Diagnostics | [Page] MainPage handler detached. Cycle 2.
2026-09-07T20:24:07.7518959+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T20:24:07.7538393+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 21. Module reference live: True. WebView destroyed first: True.
2026-09-07T20:24:07.7609707+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 21 calls.
2026-09-07T20:24:07.7629645+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 7 ms. Loop stopped: True. Module disposed cleanly: True.
