2026-09-02T16:58:47.0580134+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: /data/user/0/com.microsoft.validation.hybridteardown/files/evidence.log
2026-09-02T16:58:47.0942427+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-02T16:58:47.1241603+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 196 MB.
2026-09-02T16:58:47.8797289+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-02T16:58:48.7136825+05:30 | Information | Lifecycle | Window created.
2026-09-02T16:58:48.7242463+05:30 | Information | Lifecycle | Window activated.
2026-09-02T16:58:52.0961812+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:58:57.1302485+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:59:02.1002703+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:59:07.0968629+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:59:12.0975524+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 354 MB.
2026-09-02T16:59:17.1014757+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 354 MB.
2026-09-02T16:59:22.0959404+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-02T16:59:24.9344114+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T16:59:27.1030352+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 355 MB.
2026-09-02T16:59:32.0972615+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 361 MB.
2026-09-02T16:59:35.2926631+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T16:59:35.9366165+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-02T16:59:37.0996674+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 363 MB.
2026-09-02T16:59:42.1018738+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 364 MB.
2026-09-02T16:59:47.0976017+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 365 MB.
2026-09-02T16:59:52.0972972+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 360 MB.
2026-09-02T16:59:57.0986895+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 2 MB. Working set: 361 MB.
2026-09-02T17:00:02.0985540+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 362 MB.
2026-09-02T17:00:07.0932621+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 361 MB.
2026-09-02T17:00:09.9491397+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T17:00:09.9570858+05:30 | Information | Lifecycle | Window activated.
2026-09-02T17:00:11.8458276+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T17:00:12.0975354+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 362 MB.
2026-09-02T17:00:12.6718842+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-02T17:00:12.6918282+05:30 | Information | Diagnostics | [Lifecycle] Window destroying. Slow call in flight at shutdown: False.
2026-09-02T17:00:12.6934342+05:30 | Information | Diagnostics | [Lifecycle] Window destroyed. Shutdown took 1 ms. Unhandled: 0. Unobserved: 0.
2026-09-02T17:00:16.0069973+05:30 | Information | Lifecycle | Window created.
2026-09-02T17:00:16.0141866+05:30 | Information | Lifecycle | Window activated.
2026-09-02T17:00:17.0986741+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 364 MB.
2026-09-02T17:00:22.0969997+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 367 MB.
