
2026-09-02T13:30:33.7742459+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 28 callbacks.
2026-09-02T13:30:33.7952236+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T13:30:34.6851624+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 3. GC heap: 5 MB. Working set: 264 MB.
2026-09-02T13:30:37.9188994+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 16. WebView destroyed first: False.
2026-09-02T13:30:37.9281368+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 16 ticks.
2026-09-02T13:30:37.9291642+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 9 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T13:30:39.6853846+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 3. GC heap: 2 MB. Working set: 262 MB.
2026-09-02T13:30:43.1587216+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 3.
2026-09-02T13:30:43.1620650+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T13:30:43.1833905+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T13:30:43.1852466+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 26 callbacks.
2026-09-02T13:30:44.2912214+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 3.
2026-09-02T13:30:44.2939005+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 4.
2026-09-02T13:30:44.2957143+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T13:30:44.6893759+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 4. GC heap: 3 MB. Working set: 260 MB.
2026-09-02T13:30:49.6825136+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 4. GC heap: 6 MB. Working set: 256 MB.
2026-09-02T13:30:52.1969155+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 28 callbacks.
