2026-09-02T10:24:43.9983398+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 4.
2026-09-02T10:24:43.9995605+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:24:44.0165886+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:24:44.0854747+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 3 callbacks.
2026-09-02T10:24:45.5625467+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 4.
2026-09-02T10:24:45.5696832+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 5.
2026-09-02T10:24:45.5724358+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:24:48.1895040+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 5. GC heap: 4 MB. Working set: 378 MB.
2026-09-02T10:24:48.4671926+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:24:49.4509853+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 5.
2026-09-02T10:24:49.4521501+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:24:49.4728437+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:24:49.5462423+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 8. Module reference live: True. WebView destroyed first: True.
2026-09-02T10:24:49.5479594+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 8 calls.
2026-09-02T10:24:49.5486596+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 1 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T10:24:51.1719175+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 5.
2026-09-02T10:24:51.1910716+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 6.
2026-09-02T10:24:51.2078130+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:24:53.1817952+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 6 MB. Working set: 383 MB.
2026-09-02T10:24:54.3884395+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-02T10:24:56.7173544+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 6.
2026-09-02T10:24:56.7229144+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:24:56.7401018+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:24:56.8106510+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall entered. Call state: in flight. WebView destroyed first: True.
2026-09-02T10:24:56.8153807+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Cleanup] SlowCall completed. Call state: in flight.
2026-09-02T10:24:56.8157505+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall returned after 4 ms. Was in flight at disposal: True. Module disposed cleanly: True.
2026-09-02T10:24:57.9380037+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 6.
2026-09-02T10:24:57.9397692+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 7.
2026-09-02T10:24:57.9431368+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:24:58.1827778+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 7. GC heap: 6 MB. Working set: 383 MB.
2026-09-02T10:25:00.2499352+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T10:25:03.1795442+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 7. GC heap: 7 MB. Working set: 385 MB.
2026-09-02T10:25:04.2746738+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 7.
2026-09-02T10:25:04.2753143+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:25:04.2899814+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:25:04.3547040+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 16. WebView destroyed first: True.
2026-09-02T10:25:04.3921140+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 16 ticks.
2026-09-02T10:25:04.3923379+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 37 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T10:25:05.5525435+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 7.
2026-09-02T10:25:05.5732955+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 8.
2026-09-02T10:25:05.5769762+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:25:08.1787020+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 8. GC heap: 4 MB. Working set: 386 MB.
2026-09-02T10:25:08.2378174+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 8.
2026-09-02T10:25:08.2424105+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:25:08.2787127+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:25:08.3724106+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 4 callbacks.
2026-09-02T10:25:09.4403583+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 8.
2026-09-02T10:25:09.4422015+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 9.
2026-09-02T10:25:09.4425659+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:25:12.4310783+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:25:13.1790189+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 9. GC heap: 5 MB. Working set: 388 MB.
2026-09-02T10:25:18.1093190+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 9.
2026-09-02T10:25:18.1122657+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:25:18.1415286+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:25:18.1794089+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 9. GC heap: 6 MB. Working set: 388 MB.
2026-09-02T10:25:18.2066357+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 38. Module reference live: True. WebView destroyed first: True.
2026-09-02T10:25:18.2088680+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 38 calls.
2026-09-02T10:25:18.2113339+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 2 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T10:25:19.5140158+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 9.
2026-09-02T10:25:19.5195975+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 10.
2026-09-02T10:25:19.5199790+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:25:21.9697917+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-02T10:25:23.1835328+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 10. GC heap: 7 MB. Working set: 390 MB.
2026-09-02T10:25:25.2856765+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 10.
2026-09-02T10:25:25.2868263+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:25:25.3111438+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:25:25.3744896+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall entered. Call state: in flight. WebView destroyed first: True.
2026-09-02T10:25:25.3768992+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Cleanup] SlowCall completed. Call state: in flight.
2026-09-02T10:25:25.3776785+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall returned after 2 ms. Was in flight at disposal: True. Module disposed cleanly: True.
2026-09-02T10:25:26.3447668+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 10.
2026-09-02T10:25:26.3452958+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 11.
2026-09-02T10:25:26.3517323+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:25:27.6890185+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T10:25:28.1806529+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 11. GC heap: 8 MB. Working set: 393 MB.
2026-09-02T10:25:31.0496679+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 11.
2026-09-02T10:25:31.0512062+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:25:31.0615618+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:25:31.1297023+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 13. WebView destroyed first: True.
2026-09-02T10:25:31.1553592+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 13 ticks.
2026-09-02T10:25:31.1558828+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 25 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T10:25:32.0283977+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 11.
2026-09-02T10:25:32.0288725+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 12.
2026-09-02T10:25:32.0290475+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:25:33.1828996+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 12. GC heap: 5 MB. Working set: 391 MB.
2026-09-02T10:25:36.7175371+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 12.
2026-09-02T10:25:36.7183975+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:25:36.7410102+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:25:36.8361485+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 16 callbacks.
2026-09-02T10:25:37.7332722+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 12.
2026-09-02T10:25:37.7531284+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 13.
2026-09-02T10:25:37.7548623+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:25:38.1822920+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 13. GC heap: 6 MB. Working set: 395 MB.
2026-09-02T10:25:39.0028045+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:25:43.1821889+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 13. GC heap: 6 MB. Working set: 396 MB.
2026-09-02T10:25:43.8900952+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 13.
2026-09-02T10:25:43.8937150+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:25:43.9485320+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:25:44.0111403+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 27. Module reference live: True. WebView destroyed first: True.
2026-09-02T10:25:44.0122827+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 27 calls.
2026-09-02T10:25:44.0133695+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 1 ms. Loop stopped: True. Module disposed cleanly: True.
