2026-09-03T09:27:02.2621205+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:27:06.3095912+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 381 MB.
2026-09-03T09:27:07.4978326+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-03T09:27:11.3019444+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 379 MB.
2026-09-03T09:27:16.3078153+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 375 MB.
2026-09-03T09:27:18.1529526+05:30 | Information | Lifecycle | Window deactivated.
2026-09-03T09:27:18.1893491+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-03T09:27:18.4368979+05:30 | Information | Diagnostics | [Rotation] Orientation changed to portrait. Rotation 6 this session. Activity recreated: True. Cycle 1.
2026-09-03T09:27:18.7180026+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:27:18.7302802+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:27:21.3136626+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 382 MB.
2026-09-03T09:27:26.3244724+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 383 MB.
2026-09-03T09:27:27.2129761+05:30 | Information | Lifecycle | Window deactivated.
2026-09-03T09:27:27.2323684+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-03T09:27:27.4210255+05:30 | Information | Diagnostics | [Rotation] Orientation changed to landscape. Rotation 7 this session. Activity recreated: True. Cycle 1.
2026-09-03T09:27:27.7626806+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:27:27.7645759+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:27:31.3102958+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 384 MB.
2026-09-03T09:27:36.3097899+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 8 MB. Working set: 384 MB.
2026-09-03T09:27:41.3057556+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 385 MB.
2026-09-03T09:27:44.5777469+05:30 | Information | Lifecycle | Window deactivated.
2026-09-03T09:27:44.6161352+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-03T09:27:44.8596153+05:30 | Information | Diagnostics | [Rotation] Orientation changed to portrait. Rotation 8 this session. Activity recreated: True. Cycle 1.
2026-09-03T09:27:45.1856162+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:27:45.1939198+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:27:46.3067022+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 387 MB.
2026-09-03T09:27:48.3624001+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-03T09:27:51.3070755+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 8 MB. Working set: 390 MB.
2026-09-03T09:27:56.3079586+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 388 MB.
2026-09-03T09:27:56.8273266+05:30 | Information | Lifecycle | Window deactivated.
2026-09-03T09:27:56.8418785+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-03T09:27:57.0523773+05:30 | Information | Diagnostics | [Rotation] Orientation changed to landscape. Rotation 9 this session. Activity recreated: True. Cycle 1.
2026-09-03T09:27:57.3779667+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:27:57.3791325+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:27:59.8952076+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-03T09:28:01.3098662+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 391 MB.
2026-09-03T09:28:05.9311377+05:30 | Information | Lifecycle | Window deactivated.
2026-09-03T09:28:05.9688582+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-03T09:28:06.2186962+05:30 | Information | Diagnostics | [Rotation] Orientation changed to portrait. Rotation 10 this session. Activity recreated: True. Cycle 1.
2026-09-03T09:28:06.3026524+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 9 MB. Working set: 392 MB.
2026-09-03T09:28:06.4712998+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:28:06.4793214+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:28:09.2429520+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-03T09:28:11.1865728+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 9. Module reference live: True. WebView destroyed first: False.
2026-09-03T09:28:11.2874361+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 9 calls.
2026-09-03T09:28:11.2931913+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 101 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-03T09:28:11.3191745+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 395 MB.
2026-09-03T09:28:12.3176833+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-03T09:28:14.8232138+05:30 | Information | Lifecycle | Window deactivated.
2026-09-03T09:28:14.8444084+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-03T09:28:15.0127908+05:30 | Information | Diagnostics | [Rotation] Orientation changed to landscape. Rotation 11 this session. Activity recreated: True. Cycle 1.
2026-09-03T09:28:15.1467823+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:28:15.1478247+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:28:16.3057530+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 9 MB. Working set: 397 MB.
2026-09-03T09:28:20.8303306+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-03T09:28:21.3098575+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 396 MB.
2026-09-03T09:28:26.3080940+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 10 MB. Working set: 388 MB.
2026-09-03T09:28:28.2815695+05:30 | Information | Lifecycle | Window deactivated.
2026-09-03T09:28:28.3016357+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-03T09:28:28.5165916+05:30 | Information | Diagnostics | [Rotation] Orientation changed to portrait. Rotation 12 this session. Activity recreated: True. Cycle 1.
2026-09-03T09:28:28.6819850+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:28:28.6845513+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:28:31.3051881+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 392 MB.
2026-09-03T09:28:31.7128335+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-03T09:28:36.3177441+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 10 MB. Working set: 393 MB.
2026-09-03T09:28:41.3155391+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 389 MB.
2026-09-03T09:28:42.1106775+05:30 | Information | Lifecycle | Window deactivated.
