2026-09-02T15:16:44.8589411+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: C:\Users\SuryaElayaperumal\AppData\Local\Packages\HybridTearDown_ph1m9x8skttmg\LocalState\evidence.log
2026-09-02T15:16:44.8830988+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-02T15:16:44.8896502+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 108 MB.
2026-09-02T15:16:47.8913922+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-02T15:16:48.7721040+05:30 | Information | Lifecycle | Window created.
2026-09-02T15:16:48.7903070+05:30 | Information | Lifecycle | Window activated.
2026-09-02T15:16:49.8925069+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 2 MB. Working set: 229 MB.
2026-09-02T15:16:54.8969529+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 244 MB.
2026-09-02T15:16:59.8931513+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 240 MB.
2026-09-02T15:17:04.8930758+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 238 MB.
2026-09-02T15:17:09.8906014+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 238 MB.
2026-09-02T15:17:14.8961967+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 238 MB.
2026-09-02T15:17:19.0330182+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T15:17:19.8959533+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 243 MB.
2026-09-02T15:17:24.8862782+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 243 MB.
2026-09-02T15:17:29.1614370+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T15:17:29.1645018+05:30 | Information | Lifecycle | Window activated.
2026-09-02T15:17:29.2150054+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T15:17:29.2451879+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T15:17:29.2458756+05:30 | Information | Lifecycle | Window activated.
2026-09-02T15:17:29.3563820+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T15:17:29.8905500+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 241 MB.
2026-09-02T15:17:34.1454576+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T15:17:34.1468310+05:30 | Information | Lifecycle | Window activated.
2026-09-02T15:17:34.3850513+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T15:17:34.8973331+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 246 MB.
2026-09-02T15:17:39.8918838+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 248 MB.
2026-09-02T15:17:42.3882511+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-02T15:17:42.4049188+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T15:17:44.8907724+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 252 MB.
2026-09-02T15:17:49.8915199+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 247 MB.
2026-09-02T15:17:54.8949423+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 247 MB.
2026-09-02T15:17:59.8940904+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 247 MB.
2026-09-02T15:18:04.8984830+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 250 MB.
2026-09-02T15:18:09.8871635+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 8 MB. Working set: 249 MB.
2026-09-02T15:18:14.8963869+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 8 MB. Working set: 250 MB.
2026-09-02T15:18:19.8883385+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 249 MB.
2026-09-02T15:18:24.8957795+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 249 MB.
2026-09-02T15:18:29.8919613+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 2 MB. Working set: 250 MB.
2026-09-02T15:18:34.8906054+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 249 MB.
2026-09-02T15:18:39.8935649+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 250 MB.
2026-09-02T15:18:44.8908424+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 250 MB.
2026-09-02T15:18:49.8871773+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 251 MB.
2026-09-02T15:18:50.2036128+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T15:18:50.2045671+05:30 | Information | Lifecycle | Window activated.
2026-09-02T15:18:54.8969300+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 252 MB.
2026-09-02T15:18:58.6069054+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 772. Module reference live: True. WebView destroyed first: False.
2026-09-02T15:18:58.6555526+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 772 calls.
2026-09-02T15:18:58.6567608+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 54 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T15:18:58.6672821+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T15:18:59.8888618+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 256 MB.
2026-09-02T15:19:04.8936419+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 253 MB.
2026-09-02T15:19:09.8980151+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 254 MB.
2026-09-02T15:19:14.8969967+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 255 MB.
2026-09-02T15:19:16.2505334+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 70. WebView destroyed first: False.
2026-09-02T15:19:16.2987484+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 70 ticks.
2026-09-02T15:19:16.3000329+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 48 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T15:19:16.3081340+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T15:19:19.8905945+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 2 MB. Working set: 254 MB.
2026-09-02T15:19:22.7062045+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 59. Module reference live: True. WebView destroyed first: False.
2026-09-02T15:19:22.7130746+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 59 calls.
2026-09-02T15:19:22.7144335+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 6 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T15:19:22.7282809+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T15:19:24.8955735+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 256 MB.
2026-09-02T15:19:29.8858524+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 253 MB.
2026-09-02T15:19:32.2349177+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 38. WebView destroyed first: False.
2026-09-02T15:19:32.2446260+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 38 ticks.
2026-09-02T15:19:32.2457198+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 9 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T15:19:33.9690001+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T15:19:34.8984319+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 254 MB.
2026-09-02T15:19:39.8894252+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 254 MB.
2026-09-02T15:19:44.8966421+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 254 MB.
2026-09-02T15:19:49.8934726+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 253 MB.
2026-09-02T15:19:54.8992634+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 253 MB.
2026-09-02T15:19:59.8891614+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 253 MB.
2026-09-02T15:20:04.8871498+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 253 MB.
