2026-09-02T09:36:32.6440899+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: C:\Users\SuryaElayaperumal\AppData\Local\Packages\HybridTearDown_ph1m9x8skttmg\LocalState\evidence.log
2026-09-02T09:36:32.6626290+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-02T09:36:32.6682212+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 81 MB.
2026-09-02T09:36:33.0510623+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-02T09:36:33.3258096+05:30 | Information | Lifecycle | Window created.
2026-09-02T09:36:33.3498769+05:30 | Information | Lifecycle | Window activated.
2026-09-02T09:36:37.6682186+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 244 MB.
2026-09-02T09:36:39.9212682+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T09:36:42.6781875+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 243 MB.
2026-09-02T09:36:47.6648205+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 239 MB.
2026-09-02T09:36:49.7249621+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T09:36:49.7266778+05:30 | Information | Lifecycle | Window activated.
2026-09-02T09:36:49.7621118+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T09:36:49.8135738+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T09:36:49.8145440+05:30 | Information | Lifecycle | Window activated.
2026-09-02T09:36:50.6558824+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T09:36:52.6757896+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 245 MB.
2026-09-02T09:36:54.5211354+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 36. Module reference live: True. WebView destroyed first: False.
2026-09-02T09:36:54.5480033+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 36 calls.
2026-09-02T09:36:54.5487579+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 27 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T09:36:54.9721494+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T09:36:57.6753202+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 251 MB.
2026-09-02T09:36:59.0227025+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 37. Module reference live: True. WebView destroyed first: False.
2026-09-02T09:36:59.0417561+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 37 calls.
2026-09-02T09:36:59.0431631+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 19 ms. Loop stopped: True. Module disposed cleanly: True.
