2026-09-07T09:37:54.5029974+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 2 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T09:37:56.4696794+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 4.
2026-09-07T09:37:56.4713861+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 4.
2026-09-07T09:37:56.4731315+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:37:57.7549196+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T09:37:58.8335726+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 4. GC heap: 8 MB. Working set: 269 MB.
2026-09-07T09:38:00.4921762+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 4.
2026-09-07T09:38:00.4935111+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:38:00.5025384+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:38:00.5052529+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 25. Module reference live: True. WebView destroyed first: True.
2026-09-07T09:38:00.5089453+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 25 calls.
2026-09-07T09:38:00.5105090+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 3 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T09:38:01.2153907+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 5.
2026-09-07T09:38:01.2162637+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 5.
2026-09-07T09:38:01.2171967+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:38:02.3108206+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T09:38:03.8332115+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 5. GC heap: 7 MB. Working set: 273 MB.
2026-09-07T09:38:05.4879788+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 5.
2026-09-07T09:38:05.4890061+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:38:05.4993889+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:38:05.5019322+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 30. Module reference live: True. WebView destroyed first: True.
2026-09-07T09:38:05.5044440+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 30 calls.
2026-09-07T09:38:05.5053531+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 2 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T09:38:06.4730291+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 6.
2026-09-07T09:38:06.4739058+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 6.
2026-09-07T09:38:06.4746514+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:38:07.6374952+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T09:38:08.8251779+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 11 MB. Working set: 276 MB.
2026-09-07T09:38:10.7998900+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 6.
2026-09-07T09:38:10.8006057+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:38:10.8067682+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:38:10.8080271+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 29. Module reference live: True. WebView destroyed first: True.
2026-09-07T09:38:10.8105899+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 29 calls.
2026-09-07T09:38:10.8112511+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 2 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T09:38:11.7149927+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 7.
2026-09-07T09:38:11.7168964+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 7.
2026-09-07T09:38:11.7179212+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
