2026-09-02T17:04:52.5053543+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: C:\Users\SuryaElayaperumal\AppData\Local\Packages\HybridTearDown_ph1m9x8skttmg\LocalState\evidence.log
2026-09-02T17:04:52.5619776+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-02T17:04:52.5728488+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 108 MB.
2026-09-02T17:04:56.6615025+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-02T17:04:57.5756011+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 168 MB.
2026-09-02T17:04:58.2531201+05:30 | Information | Lifecycle | Window created.
2026-09-02T17:04:58.2798442+05:30 | Information | Lifecycle | Window activated.
2026-09-02T17:05:02.5783112+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 245 MB.
2026-09-02T17:05:07.5726639+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 241 MB.
2026-09-02T17:05:12.5697748+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 239 MB.
2026-09-02T17:05:16.5442591+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T17:05:17.5798047+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 243 MB.
2026-09-02T17:05:20.8102450+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T17:05:20.8120008+05:30 | Information | Lifecycle | Window activated.
2026-09-02T17:05:22.5734535+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 243 MB.
2026-09-02T17:05:26.0436368+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T17:05:27.5787958+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 241 MB.
2026-09-02T17:05:28.8384566+05:30 | Information | Lifecycle | Window resumed.
