2026-09-04T09:47:44.2216985+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: /data/user/0/com.microsoft.validation.hybridteardown/files/evidence.log
2026-09-04T09:47:44.3313367+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-04T09:47:44.3705288+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 195 MB.
2026-09-04T09:47:46.0247766+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-04T09:47:49.4057203+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 238 MB.
2026-09-04T09:47:54.3370029+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 249 MB.
2026-09-04T09:47:55.6786602+05:30 | Information | Lifecycle | Window created.
2026-09-04T09:47:55.6888138+05:30 | Information | Lifecycle | Window activated.
2026-09-04T09:47:59.3418266+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 354 MB.
2026-09-04T09:48:04.3376933+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 354 MB.
2026-09-04T09:48:09.3408083+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 352 MB.
2026-09-04T09:48:14.3413890+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 352 MB.
2026-09-04T09:48:19.4116860+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 352 MB.
2026-09-04T09:48:24.3426989+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-04T09:48:27.8483649+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-04T09:48:29.3450989+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 356 MB.
2026-09-04T09:48:32.6260462+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 36. Module reference live: True. WebView destroyed first: False.
2026-09-04T09:48:32.7322947+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 36 calls.
2026-09-04T09:48:32.7375340+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 105 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-04T09:48:34.3383582+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 363 MB.
2026-09-04T09:48:37.1558309+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-04T09:48:39.3377577+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 364 MB.
2026-09-04T09:48:40.4939311+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall entered. Call state: in flight. WebView destroyed first: False.
2026-09-04T09:48:40.5306734+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Cleanup] SlowCall completed. Call state: in flight.
2026-09-04T09:48:40.5313445+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall returned after 37 ms. Was in flight at disposal: True. Module disposed cleanly: True.
2026-09-04T09:48:44.3384950+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 364 MB.
2026-09-04T09:48:44.9599817+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-04T09:48:49.3397056+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 366 MB.
2026-09-04T09:48:52.1795796+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 29. WebView destroyed first: False.
2026-09-04T09:48:52.4225991+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 29 ticks.
2026-09-04T09:48:52.4242961+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 243 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-04T09:48:54.3382395+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 370 MB.
2026-09-04T09:48:59.3415682+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 371 MB.
2026-09-04T09:49:04.3390100+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 368 MB.
2026-09-04T09:49:05.4448334+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 52 callbacks.
2026-09-04T09:49:09.3401434+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 368 MB.
2026-09-04T09:49:09.4547595+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 1.
2026-09-04T09:49:09.4900214+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-04T09:49:09.5266127+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-04T09:49:09.5417976+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-04T09:49:12.9852472+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 1.
2026-09-04T09:49:12.9901467+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 2.
